Date,Open,High,Low,Close,Adj Close,Volume
2022-06-03,4530.0,4570.0,4510.0,4520.0,4253.22802734375,117643300
2022-06-06,4470.0,4510.0,4400.0,4430.0,4168.53955078125,157277700
2022-06-07,4460.0,4460.0,4400.0,4400.0,4140.310546875,133318000
2022-06-08,4400.0,4470.0,4380.0,4470.0,4206.17919921875,150604000
2022-06-09,4500.0,4520.0,4480.0,4490.0,4224.99853515625,161768800
2022-06-10,4470.0,4470.0,4360.0,4400.0,4140.310546875,222410400
2022-06-13,4260.0,4350.0,4260.0,4340.0,4083.8515625,164017200
2022-06-14,4300.0,4410.0,4300.0,4360.0,4102.6708984375,150381800
2022-06-15,4360.0,4450.0,4360.0,4450.0,4187.359375,160729900
2022-06-16,4420.0,4530.0,4410.0,4430.0,4168.53955078125,240023000
2022-06-17,4370.0,4400.0,4350.0,4370.0,4112.0810546875,185763100
2022-06-20,4400.0,4410.0,4340.0,4400.0,4140.310546875,95058800
2022-06-21,4430.0,4430.0,4380.0,4380.0,4121.49072265625,103964600
2022-06-22,4410.0,4410.0,4310.0,4320.0,4065.0322265625,106208500
2022-06-23,4300.0,4360.0,4300.0,4310.0,4055.622314453125,127600700
2022-06-24,4320.0,4350.0,4310.0,4340.0,4083.8515625,66083900
2022-06-27,4310.0,4330.0,4270.0,4280.0,4027.392822265625,152306100
2022-06-28,4320.0,4330.0,4280.0,4300.0,4046.212158203125,178535800
2022-06-29,4280.0,4310.0,4180.0,4180.0,3933.294677734375,228536100
2022-06-30,4120.0,4220.0,4120.0,4150.0,3905.0654296875,239939100
2022-07-01,4150.0,4200.0,4110.0,4140.0,3895.65576171875,154659500
2022-07-04,4090.0,4120.0,3960.0,4040.0,3801.5576171875,246853600
2022-07-05,4040.0,4160.0,4040.0,4090.0,3848.606689453125,180648400
2022-07-06,4050.0,4100.0,4020.0,4080.0,3839.19677734375,125309100
2022-07-07,4040.0,4110.0,4040.0,4050.0,3810.967529296875,172127500
2022-07-08,4090.0,4200.0,4050.0,4200.0,3952.1142578125,112914000
2022-07-11,4150.0,4170.0,4100.0,4120.0,3876.8359375,80867700
2022-07-12,4120.0,4140.0,4100.0,4110.0,3867.42626953125,56085200
2022-07-13,4110.0,4130.0,4030.0,4060.0,3820.377197265625,165745200
2022-07-14,4010.0,4090.0,4010.0,4070.0,3829.787109375,188729700
2022-07-15,4060.0,4120.0,4050.0,4110.0,3867.42626953125,91362800
2022-07-18,4110.0,4140.0,4080.0,4140.0,3895.65576171875,135284500
2022-07-19,4150.0,4150.0,4110.0,4110.0,3867.42626953125,122905900
2022-07-20,4180.0,4300.0,4160.0,4300.0,4046.212158203125,220223600
2022-07-21,4300.0,4310.0,4230.0,4310.0,4055.622314453125,130405400
2022-07-22,4330.0,4330.0,4270.0,4270.0,4017.98291015625,86561100
